appearances,PPG,goals,own_goals,substitutions_on,substitutions_off,yellow_cards,second_yellow_cards,red_cards,goals_conceded,clean_sheet,minutes_played
40.0,1.9,0,0,1.0,5.0,3.0,7.0,0,0,0,0
25.0,1.6,1.0,1.0,1.0,4.0,3.0,4.0,0,1.0,0,1.903
18.0,1.5,0,0,0.0,4.0,12.0,0.0,0,0,0,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
52.0,1.75,6.0,2.0,0.0,4.0,5.0,2.0,0,0,0,737.0
43.0,1.79,2.0,5.0,0.0,10.0,6.0,3.0,1.0,0,0,1.536
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1.0,,0,0,0.0,1.0,0.0,1.0,0,0,0,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
32.0,1.97,3.0,5.0,0.0,16.0,8.0,5.0,0,0,1.0,507.0
,,,,,,,,,,,
44.0,1.61,2.0,12.0,0.0,11.0,22.0,4.0,0,0,0,1.386
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
48.0,1.92,2.0,4.0,0.0,6.0,21.0,9.0,0,0,0,1.84
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
43.0,1.81,9.0,5.0,0.0,15.0,10.0,3.0,1.0,0,0,283.0
,,,,,,,,,,,
,,,,,,,,,,,
55.0,1.87,10.0,9.0,0.0,18.0,19.0,3.0,1.0,0,0,343.0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
11.0,2.36,3.0,2.0,0.0,2.0,4.0,3.0,0,0,0,254.0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
27.0,2.0,5.0,3.0,0.0,21.0,1.0,4.0,0,0,0,163.0
49.0,2.24,17.0,8.0,0.0,12.0,26.0,3.0,0,0,0,192.0
,,,,,,,,,,,
,,,,,,,,,,,
14.0,1.71,2.0,2.0,0.0,10.0,2.0,1.0,0,0,0,233.0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
