appearances,PPG,goals,assists,own_goals,substitutions_on,substitutions_off,yellow_cards,second_yellow_cards,red_cards,penalty_goals,minutes_per_goal,minutes_played
40.0,1.9,0,0,1.0,5.0,3.0,7.0,0,0,0,0,3.125
25.0,1.6,1.0,1.0,1.0,4.0,3.0,4.0,0,1.0,0,1.903,1.903
18.0,1.5,0,0,0.0,4.0,12.0,0.0,0,0,0,0,1.133
36.0,1.86,0,1.0,0.0,4.0,5.0,3.0,0,0,0,0,2.794
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
43.0,1.79,2.0,5.0,0.0,10.0,6.0,3.0,1.0,0,0,1.536,3.072
,,,,,,,,,,,,
44.0,2.07,9.0,6.0,0.0,7.0,15.0,14.0,0,1.0,0,352.0,3.164
