player_id,name,player_club,age,position,goalkeeper_or_not,market_value,nationality,player_height,player_agent,strong_foot,contract_value_time,appearances,PPG,goals,assists,own_goals,substitutions_on,substitutions_off,yellow_cards,second_yellow_cards,red_cards,penalty_goals,minutes_per_goal,minutes_played,goals_conceded,clean_sheet,crawl_timestamp,source
193859,Patrick Erras,Holstein Kiel,30.0,Defensive Midfield,0,1000.0,Germany,1.96,None,right,2026.0,12.0,0.58,1.0,0,0,0,3.0,2.0,0,0,0,968.0,968.0,0.0,0.0,1748219610630,https://www.transfermarkt.com/patrick-erras/profil/spieler/193859
160344,Leonardo Mancuso,Mantova,33.0,Centre-Forward,0,500.0,Italy,1.82,None,right,2026.0,40.0,1.18,10.0,2.0,0,10.0,24.0,3.0,0,0,2.0,243.0,2.431,0.0,0.0,1748219613724,https://www.transfermarkt.com/leonardo-mancuso/profil/spieler/160344
244997,Arne Sicker,SV Elversberg,28.0,Left-Back,0,300.0,Germany,1.84,DC International ...,left,2025.0,8.0,2.25,0.0,0,0,7.0,1.0,0.0,0,0,0,0.0,146.0,0.0,0.0,1748219640773,https://www.transfermarkt.com/arne-sicker/profil/spieler/244997
364132,Flavio Bianchi,Brescia,25.0,Centre-Forward,0,500.0,Italy,1.78,None,right,2026.0,24.0,1.0,4.0,0,0,19.0,5.0,2.0,0,0,0,156.0,623.0,0.0,0.0,1748219653162,https://www.transfermarkt.com/flavio-bianchi/profil/spieler/364132
193867,Liam Henderson,FC Empoli,29.0,Central Midfield,0,1800.0,Scotland,1.83,None,right,2025.0,41.0,1.05,0.0,6.0,0,10.0,21.0,11.0,0,0,0,0.0,2.713,0.0,0.0,1748219655594,https://www.transfermarkt.com/liam-henderson/profil/spieler/193867
813137,Niccolò Pisilli,AS Roma,20.0,Central Midfield,0,12000.0,Italy,1.8,None,right,2029.0,41.0,1.83,3.0,1.0,0,23.0,11.0,8.0,0,0,0,645.0,1.934,0.0,0.0,1748219680962,https://www.transfermarkt.com/niccolo-pisilli/profil/spieler/813137
683812,John Tolkin,Holstein Kiel,22.0,Left-Back,0,3000.0,United States,1.7,YMU Management Ltd.,left,-,11.0,0.91,0.0,2.0,0,2.0,4.0,0.0,0,0,0,0.0,739.0,0.0,0.0,1748219682970,https://www.transfermarkt.com/john-tolkin/profil/spieler/683812
700405,Ollie Tanner,Cardiff,23.0,Right Midfield,0,1500.0,England,1.77,None,left,2027.0,31.0,1.16,2.0,3.0,0,15.0,12.0,1.0,0,0,0,754.0,1.507,0.0,0.0,1748219684999,https://www.transfermarkt.com/ollie-tanner/profil/spieler/700405
240129,Tommaso Biasci,Catanzaro,30.0,Second Striker,0,800.0,Italy,1.82,None,right,2026.0,35.0,1.29,6.0,2.0,0,12.0,23.0,1.0,0,1.0,0,294.0,1.762,0.0,0.0,1748219687340,https://www.transfermarkt.com/tommaso-biasci/profil/spieler/240129
1067659,Boris Mamuzah Lum,Hertha BSC II,17.0,Defensive Midfield,0,500.0,Germany,1.73,None,both,2026.0,20.0,1.85,2.0,0,0,3.0,7.0,3.0,0,0,1.0,683.0,1.366,0.0,0.0,1748219699993,https://www.transfermarkt.com/boris-mamuzah-lum/profil/spieler/1067659
